Genome	Control_1_B	Control_2_B	Control_3_B	AA_1_B	AA_2_B	AA_3_B	AAAb_1_B	AAAb_2_B	AAAb_3_B	Inoculum	Control_1_A	Control_2_A	Control_3_A	AA_1_A	AA_2_A	AA_3_A	AAAb_1_A	AAAb_2_A	AAAb_3_A
vamb.spades.6	0.008428521	0	0	0.011372737	0	0	0.016060865	0.015456134	0.01586094	0	0	0	0	0	0	0	0	0	0
vamb.megahit.39	0.026486792	0	0	0	0.11458753	0	0.01423722	0.015160778	0.022774486	0	0	0.04914522	0.021155952	0	0.69751066	0	0.27295074	0.12479919	0.30979618
concoct_spades_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metabat1.spades.2	0.015038507	0.009829227	0.0111483885	0.013121875	0	0.015831484	0.012082128	0.019367255	0	0	0	0.018460322	0	0	0	0	0	0	0
vamb.spades.267	0.07131837	0.107596695	0.06848032	0.15048006	0.4705689	0.084055394	0.4221937	0.5067335	0.33953312	0	0.019351339	0.0728228	0.018358245	0.124454886	2.6795099	0.057523333	0.2953638	0.37676197	0.3024427
metabat2.spades.18	0.27876917	0.93719333	0.5566194	0.5913205	0.89018065	0.65191334	3.7304435	3.243789	2.0260634	0.048525646	0.058708645	0.17284377	0.044960346	0	0.02045613	0.06501765	0.073078305	0	0.070142604
metabat1.megahit.20	0.25291806	0.54589576	0.46691784	0.45006418	0.58661526	0.47917432	0.51784235	1.1659559	0.20314147	0.061297204	0.26151732	0.42193633	0.27875146	0.19449535	0.19633019	0.22605984	0.6867109	0.5914358	0.70759493
vamb.spades.812	0.04347067	0.039626673	0.034722537	0.032634158	0.03197273	0.032637753	0.02314243	0.056871008	0.010626658	0	0.018756006	0.061088294	0.015420857	0	0.0058773425	0	0.027972963	0.02892695	0.026943792
vamb.spades.298	0.060544584	0.048615832	0.09067425	0	0	0	0	0.008898978	0	0.02191723	0.05887691	0.26812068	0.032297283	0	0	0	0	0	0
maxbin2.spades.006	0.5702186	0.25761345	0.15397912	0.11511108	0.080849975	0.06974145	0.45390537	0.29441637	0.45898363	0.011813178	0.720685	1.0876441	0.6854514	0.6351855	0.19910504	0.5077326	4.3318543	2.170327	0.6009822
vamb.spades.21	0.02337998	0.044509757	0.014681267	0.10344275	0.027662897	0.09175627	0.17637289	0.22485438	0.056209043	0	0.02561278	0.054579955	0.011148676	0.054962546	0.015587385	0.05689768	0.3844699	0.30931672	0.2805993
metabat2.spades.15	2.6742735	2.4342453	2.573718	3.3829167	3.4060924	4.2903957	3.0074108	5.6247363	0.78830945	0.13877347	0.22431736	0.78150845	0.25732917	0.29939336	0.5031954	0.22152905	0.3123693	0.27961293	0.2225081
vamb.megahit.77	0.012866702	0.014725662	0.0137460865	0.012006942	0	0	0	0	0	0	0	0.021607975	0	0	0	0	0	0	0.01929633
metabat2.spades.25	1.5874861	0.53953713	1.5499216	1.2087224	3.2699504	1.6625018	1.1706696	2.0347862	0.59313947	0.018873418	8.809747	12.04503	6.754682	1.4432226	4.24651	1.8142776	4.920634	4.918975	4.6407504
maxbin2.megahit.017	0.05742645	0.047516827	0.026437612	0.15650415	0.07880829	0.07946522	0.21952191	0.14789593	0.19409423	0	0.06093144	0.1525805	0.036912195	0.7199184	0.55449706	0.88190925	0	0	0
maxbin2.spades.028	0	0	0	0	0	0	0.045766637	0.084739126	0.019459922	0	0	0.021192197	0	0	0	0	0.18858644	0.2512721	0.24086885
vamb.megahit.295	0.06638629	0.050800078	0.071450576	0.039828897	0.044099912	0.030705336	0	0	0.012654795	0.05735866	0.15571558	0.27074504	0.09758521	0	0.06833132	0	0.008855821	0	0
vamb.spades.1	0.2579796	0.28922287	0.2573642	0.06515497	0.059892647	0.049654514	0.08654851	0	0.11170511	0	0.20463488	0.46715686	0.17038769	0	0	0	0	0	0
vamb.spades.222	0.055661473	0.025517408	0.038341656	0.044631258	0.012261314	0.067059934	0.03500463	0.038312517	0.025172452	0.012464267	0.01825276	0.036804583	0.014516166	0	0	0	0	0	0
metabat2.spades.7	0	0	0	0	0	0	0	0	0	0.010031475	0	0	0	0	0	0	0	0	0
concoct_megahit_6	0	0.023984093	0.12185086	0.019632487	0	0	0.31968275	0.034829408	0	0.010375122	0	0	0	0	0	0	0	0	0
vamb.spades.1056	0.03290755	0.029554794	0.029532675	0.026438462	0.02236741	0.021870576	0.043489106	0.06587874	0.026190981	0	0.1800044	0.3136097	0.094514154	0.13393839	0.04604829	0.10940994	0.07894253	0.049339835	0.11249654
vamb.spades.857	0.06964661	0.08373927	0.08264573	0.16828498	0.10795955	0.29027778	0.18312567	0.3903809	0.057721045	0	0	0	0	0	0	0	0	0	0
vamb.spades.286	0.3001346	0.40297082	0.40031204	0.18157016	0.29899293	0.15906066	0.39592212	0.76972544	0.22241575	0.029035714	0.08378373	0.34719738	0.10013846	0.0826189	0.11003428	0.09538046	0.26182315	0.19904304	0.16689038
metabat2.megahit.33	0.74312437	0.7960956	0.4567445	0.53178024	0.55977094	0.3615479	0.9066194	1.0129584	0.75334436	0.097474225	0.67651904	1.9466946	0.39161268	0.29980984	0.43930018	0.3242661	0.036495373	0.18558101	1.1896178
vamb.spades.108	0.17838259	0.1069468	0.056638084	0.3581361	0.48600075	0.26869687	0.34858304	0.74490553	0.14651117	0.025138104	0.14630757	1.2941157	0.52849066	0.44237718	0.119565345	1.2957029	1.3628978	1.8190086	0
metabat2.megahit.24	1.5946485	0.2644432	0.20383498	0.8896984	0.14343971	0.93005866	0.49887395	1.0923016	0.23803857	0.09278593	2.5275857	4.578084	0.7224514	7.324287	1.2927406	9.856181	6.2653465	6.664567	5.7258334
vamb.megahit.488	0.01243123	0.027347544	0.013349542	0.08180308	0.024225658	0.044443786	0.117437504	0.16950774	0.10984322	0	0.032618657	0.06430114	0.014590634	0.7230917	0.22487754	0.8820757	2.940844	3.351109	1.8965474
metabat2.megahit.14	0.042654026	0	0	0.03654628	0	0	0.021432307	0.060718175	0	0	0.030034604	0.30673844	0.06770182	0	0.045227133	0.04545803	0	0	0
maxbin2.spades.001	89.77957	92.03614	91.91884	90.46775	88.21879	89.38695	85.77809	80.29121	92.71258	99.0688	83.75452	72.24075	88.364174	86.061966	87.25766	81.63809	75.54915	76.632774	81.63884
