	Control	Control	Control	AA	AA	AA	AA_BES	AA_BES	AA_BES	BES	BES	BES	AA+Ab	AA+Ab	AA+Ab	Ab	Ab	Ab
0	-3.920391255	-3.692887476	-4.330066895	-3.937340813	-3.687547009	-4.021094101	-3.818229126	-3.923758261	-3.952845	-3.662562146	-4.736798628	-4.525127479	-4.681331547	-4.322500655	-4.491841501	-3.888957732	-3.57912859	-3.680911284
2	-3.118276626	-2.778472665	-2.723163839	-2.878838522	-2.595614772	-3.009831198	-3.108527768	-2.872924844	-3.061872076	-3.082743651	-3.11451581	-3.25883014	-2.876468853	-3.232298845	-3.210577022	-5.564020532	-4.779523573	#NUM!
4	-1.654609631	-1.549597912	-1.851509474	-2.031794888	-2.015153052	-2.031540662	-3.467337184	-3.161393389	-3.295037186	-3.043522937	-3.123565645	-3.243339297	-2.593829057	-2.425883309	-3.469476223	#NUM!	#NUM!	#NUM!
7	-1.768042942	-1.52035923	-1.583932622	-1.686678993	-1.686138988	-1.664422221	-3.168499617	-2.95459033	-3.029633825	-2.979858924	-3.007130319	-3.087847562	-1.847272179	-1.813596164	-2.089626567	#NUM!	-4.628780052	#NUM!
9	-1.605611907	-1.344129269	-1.426283369	-1.563508981	-1.495365456	-1.503727458	-3.183669569	-3.086386642	-3.166125259	-2.993734271	-3.089310621	-3.117523331	-1.651823629	-1.628790641	-1.77254525	#NUM!	#NUM!	#NUM!
12	-1.227127711	-1.114233669	-1.094620267	-1.101215674	-1.137457073	-1.201420509	-3.266666489	-3.127360716	-3.286084575	-3.001750346	-3.111517307	-3.23653076	-1.32138091	-1.205529571	-1.268807666	#NUM!	#NUM!	#NUM!
14	-1.111393623	-0.9253314765	-0.9348790968	-1.070997122	-0.8364018821	-1.018877321	-3.266666489	-3.127360716	-3.286084575	-3.001750346	-3.111517307	-3.23653076	-1.047444002	-1.117693177	-1.077144382	#NUM!	#NUM!	#NUM!
16	-1.02072575	-0.8077353252	-0.7652162072	-0.8409513753	-0.8301130356	-0.8545686732	-3.266666489	-3.127360716	-3.286084575	-3.001750346	-3.111517307	-3.23653076	-0.880923588	-0.8738700161	-1.011792597	#NUM!	#NUM!	#NUM!
19	-0.8802802943	-0.6274842918	-0.6866350969	-0.7314722949	-0.6203925047	-0.6559156239	-3.266666489	-3.127360716	-3.286084575	-3.001750346	-3.111517307	-3.23653076	-0.6661807323	-0.7488713293	-0.6922808893	#NUM!	#NUM!	#NUM!
21	-0.8028876446	-0.6644949381	-0.6761589675	-0.6518133171	-0.5796399398	-0.5946904413	-3.400197881	-3.161393389	-3.581520936	-2.987102947	-3.124323508	-3.3086182	-0.6084384526	-0.7172349761	-0.6381540722	-6.231415217	#NUM!	#NUM!
22	-0.6631354066	-0.6631354066	-0.6631354066	-0.6274842918	-0.6274842918	-0.6274842918	-3.400197881	-3.161393389	-3.581520936	-2.987102947	-3.124323508	-3.3086182	-0.6780615431	-0.6780615431	-0.6780615431	-6.231415217	#NUM!	#NUM!
23	-0.6115057516	-0.6115057516	-0.6115057516	-0.4741723061	-0.4741723061	-0.4741723061	-3.400197881	-3.161393389	-3.581520936	-2.987102947	-3.124323508	-3.3086182	-0.5764313809	-0.5764313809	-0.5764313809	-6.231415217	#NUM!	#NUM!
26	-0.6690401052	-0.6690401052	-0.6690401052	-0.6787184438	-0.6787184438	-0.6787184438	-3.400197881	-3.161393389	-3.581520936	-2.987102947	-3.124323508	-3.3086182	-0.690750056	-0.690750056	-0.690750056	-6.231415217	#NUM!	#NUM!
