vamb.spades.812	Firmicutes sp. PD31
maxbin2.spades.001	M. thermautotrophicus PD4
vamb.spades.222	Tepidimicrobiaceae sp. PD26
vamb.megahit.39	S. terraclitae  PD18
vamb.spades.21	Moorellia sp. PD25
maxbin2.spades.028	G. thermodenitrificans  PD6
metabat2.spades.18	Limnochordia sp. PD14
metabat2.spades.25	Symbiobacterium sp. PD15
metabat2.spades.15	C. subterraneus PD13
vamb.spades.267	Tepidanaerobacteraceae sp. PD27
maxbin2.megahit.017	Tepidanaerobacteraceae sp. PD3
maxbin2.spades.006	Moorellia sp. PD5
vamb.megahit.488	T. xylanilyticum PD19
vamb.spades.286	P. thermosuccinogenes PD28
vamb.spades.108	Peptococcales sp. PD24
metabat1.megahit.20	Firmicutes sp. PD7
metabat2.megahit.33	Tissierellaceae sp. PD12
concoct_megahit_6	Tepidanaerobacteraceae sp. PD1
vamb.spades.857	Tepidanaerobacteraceae sp. PD32
vamb.megahit.78	M. wolfeii PD21
vamb.spades.1	Limnochordia sp. PD22
metabat2.megahit.14	Bacilli sp. PD10
vamb.spades.298	Peptococcales sp. PD29
vamb.megahit.295	Lutisporaceae sp. PD17
metabat2.megahit.24	Carbobacillus sp. PD11
vamb.spades.1056	Tepidimicrobiaceae sp. PD23
